"tarefa","nivel","modelo_id","modelo","C_0_100","F_0_100","casos_aprovados","casos_total","flash_bytes","ram_bytes","status"
"T01","Facil","LLM01","GPT-5.6-Sol","100","100","4","4","281336","22092","PASS"
"T01","Facil","LLM02","DeepSeek-V4-Pro","100","100","4","4","281336","22092","PASS"
"T01","Facil","LLM03","Claude-Sonnet-5","100","100","4","4","281336","22092","PASS"
"T02","Facil","LLM01","GPT-5.6-Sol","100","100","4","4","281320","22092","PASS"
"T02","Facil","LLM02","DeepSeek-V4-Pro","100","100","4","4","281572","22092","PASS"
"T02","Facil","LLM03","Claude-Sonnet-5","100","100","4","4","281320","22092","PASS"
"T03","Facil","LLM01","GPT-5.6-Sol","100","100","3","3","281420","22092","PASS"
"T03","Facil","LLM02","DeepSeek-V4-Pro","100","100","3","3","281420","22092","PASS"
"T03","Facil","LLM03","Claude-Sonnet-5","100","100","3","3","281420","22092","PASS"
"T04","Facil","LLM01","GPT-5.6-Sol","100","100","4","4","281540","22092","PASS"
"T04","Facil","LLM02","DeepSeek-V4-Pro","100","100","4","4","281548","22092","PASS"
"T04","Facil","LLM03","Claude-Sonnet-5","100","100","4","4","281660","22092","PASS"
"T05","Facil","LLM01","GPT-5.6-Sol","100","100","5","5","281332","22092","PASS"
"T05","Facil","LLM02","DeepSeek-V4-Pro","100","100","5","5","281332","22092","PASS"
"T05","Facil","LLM03","Claude-Sonnet-5","100","100","5","5","281332","22092","PASS"
"T06","Facil","LLM01","GPT-5.6-Sol","100","100","4","4","282820","22092","PASS"
"T06","Facil","LLM02","DeepSeek-V4-Pro","100","100","4","4","282820","22092","PASS"
"T06","Facil","LLM03","Claude-Sonnet-5","100","100","4","4","283380","22092","PASS"
"T07","Facil","LLM01","GPT-5.6-Sol","100","100","4","4","282840","22092","PASS"
"T07","Facil","LLM02","DeepSeek-V4-Pro","100","100","4","4","283456","22092","PASS"
"T07","Facil","LLM03","Claude-Sonnet-5","100","100","4","4","282860","22092","PASS"
"T08","Facil","LLM01","GPT-5.6-Sol","100","100","4","4","281900","22092","PASS"
"T08","Facil","LLM02","DeepSeek-V4-Pro","100","100","4","4","281900","22092","PASS"
"T08","Facil","LLM03","Claude-Sonnet-5","100","100","4","4","281900","22092","PASS"
"T09","Facil","LLM01","GPT-5.6-Sol","100","100","9","9","282196","22092","PASS"
"T09","Facil","LLM02","DeepSeek-V4-Pro","100","100","9","9","282196","22092","PASS"
"T09","Facil","LLM03","Claude-Sonnet-5","100","100","9","9","282196","22092","PASS"
"T10","Facil","LLM01","GPT-5.6-Sol","100","100","5","5","282004","22092","PASS"
"T10","Facil","LLM02","DeepSeek-V4-Pro","100","100","5","5","282004","22092","PASS"
"T10","Facil","LLM03","Claude-Sonnet-5","100","100","5","5","282004","22092","PASS"
"T11","Medio","LLM01","GPT-5.6-Sol","100","100","4","4","281512","22100","PASS"
"T11","Medio","LLM02","DeepSeek-V4-Pro","100","100","4","4","281512","22100","PASS"
"T11","Medio","LLM03","Claude-Sonnet-5","100","100","4","4","281512","22100","PASS"
"T12","Medio","LLM01","GPT-5.6-Sol","100","100","4","4","281512","22100","PASS"
"T12","Medio","LLM02","DeepSeek-V4-Pro","100","100","4","4","281512","22100","PASS"
"T12","Medio","LLM03","Claude-Sonnet-5","100","100","4","4","281512","22100","PASS"
"T13","Medio","LLM01","GPT-5.6-Sol","100","100","5","5","281740","22124","PASS"
"T13","Medio","LLM02","DeepSeek-V4-Pro","100","80","4","5","281736","22124","FAIL"
