anon_id,tarefa,modelo_id,modelo,R_0_100,C_0_100,F_0_100,casos_aprovados,casos_total,status,nivel
X001,T28,LLM02,DeepSeek-V4-Pro,80.0,100,100,6,6,PASS,Dificil
X002,T20,LLM02,DeepSeek-V4-Pro,100.0,100,100,5,5,PASS,Medio
X003,T21,LLM01,GPT-5.6-Sol,100.0,100,100,4,4,PASS,Dificil
X004,T13,LLM03,Claude-Sonnet-5,100.0,100,100,5,5,PASS,Medio
X005,T11,LLM01,GPT-5.6-Sol,100.0,100,100,4,4,PASS,Medio
X006,T27,LLM02,DeepSeek-V4-Pro,95.0,0,0,0,6,COMPILE_FAIL,Dificil
X007,T29,LLM03,Claude-Sonnet-5,70.0,0,0,0,8,COMPILE_FAIL,Dificil
X008,T04,LLM01,GPT-5.6-Sol,100.0,100,100,4,4,PASS,Facil
X009,T02,LLM03,Claude-Sonnet-5,100.0,100,100,4,4,PASS,Facil
X010,T28,LLM01,GPT-5.6-Sol,100.0,100,100,6,6,PASS,Dificil
X011,T16,LLM03,Claude-Sonnet-5,100.0,100,100,5,5,PASS,Medio
X012,T04,LLM02,DeepSeek-V4-Pro,100.0,100,100,4,4,PASS,Facil
X013,T12,LLM01,GPT-5.6-Sol,100.0,100,100,4,4,PASS,Medio
X014,T16,LLM01,GPT-5.6-Sol,100.0,100,100,5,5,PASS,Medio
X015,T22,LLM01,GPT-5.6-Sol,100.0,100,100,5,5,PASS,Dificil
X016,T15,LLM01,GPT-5.6-Sol,100.0,100,100,4,4,PASS,Medio
X017,T06,LLM03,Claude-Sonnet-5,100.0,100,100,4,4,PASS,Facil
X018,T07,LLM02,DeepSeek-V4-Pro,100.0,100,100,4,4,PASS,Facil
X019,T16,LLM02,DeepSeek-V4-Pro,100.0,100,100,5,5,PASS,Medio
X020,T03,LLM03,Claude-Sonnet-5,100.0,100,100,3,3,PASS,Facil
X021,T02,LLM02,DeepSeek-V4-Pro,95.0,100,100,4,4,PASS,Facil
X022,T01,LLM02,DeepSeek-V4-Pro,100.0,100,100,4,4,PASS,Facil
X023,T20,LLM01,GPT-5.6-Sol,100.0,100,100,5,5,PASS,Medio
X024,T04,LLM03,Claude-Sonnet-5,100.0,100,100,4,4,PASS,Facil
X025,T23,LLM02,DeepSeek-V4-Pro,0.0,0,0,0,8,COMPILE_FAIL,Dificil
X026,T24,LLM02,DeepSeek-V4-Pro,0.0,0,0,0,6,COMPILE_FAIL,Dificil
X027,T26,LLM03,Claude-Sonnet-5,100.0,0,0,0,8,COMPILE_FAIL,Dificil
X028,T12,LLM02,DeepSeek-V4-Pro,100.0,100,100,4,4,PASS,Medio
X029,T24,LLM01,GPT-5.6-Sol,90.0,0,0,0,6,COMPILE_FAIL,Dificil
X030,T24,LLM03,Claude-Sonnet-5,100.0,0,0,0,6,COMPILE_FAIL,Dificil
X031,T30,LLM02,DeepSeek-V4-Pro,70.0,0,0,0,7,COMPILE_FAIL,Dificil
X032,T19,LLM03,Claude-Sonnet-5,100.0,100,100,4,4,PASS,Medio
X033,T02,LLM01,GPT-5.6-Sol,100.0,100,100,4,4,PASS,Facil
X034,T22,LLM02,DeepSeek-V4-Pro,90.0,100,100,5,5,PASS,Dificil
X035,T30,LLM01,GPT-5.6-Sol,95.0,0,0,0,7,COMPILE_FAIL,Dificil
X036,T10,LLM03,Claude-Sonnet-5,100.0,100,100,5,5,PASS,Facil
X037,T07,LLM01,GPT-5.6-Sol,100.0,100,100,4,4,PASS,Facil
X038,T09,LLM01,GPT-5.6-Sol,100.0,100,100,9,9,PASS,Facil
