anon_id,tarefa,juiz_id,juiz
X045,T17,J02,DeepSeek-V4-Pro
X068,T01,J02,DeepSeek-V4-Pro
X026,T24,J01,GPT-5.6-Sol
X086,T09,J02,DeepSeek-V4-Pro
X054,T05,J03,Claude-Sonnet-5
X073,T26,J03,Claude-Sonnet-5
X050,T25,J03,Claude-Sonnet-5
X023,T20,J03,Claude-Sonnet-5
X047,T22,J02,DeepSeek-V4-Pro
X008,T04,J03,Claude-Sonnet-5
X015,T22,J03,Claude-Sonnet-5
X059,T29,J02,DeepSeek-V4-Pro
X062,T20,J01,GPT-5.6-Sol
X073,T26,J01,GPT-5.6-Sol
X001,T28,J03,Claude-Sonnet-5
X019,T16,J03,Claude-Sonnet-5
X025,T23,J01,GPT-5.6-Sol
X060,T05,J02,DeepSeek-V4-Pro
X070,T26,J03,Claude-Sonnet-5
X038,T09,J03,Claude-Sonnet-5
X019,T16,J01,GPT-5.6-Sol
X072,T17,J01,GPT-5.6-Sol
X033,T02,J02,DeepSeek-V4-Pro
X001,T28,J01,GPT-5.6-Sol
X042,T14,J02,DeepSeek-V4-Pro
X002,T20,J03,Claude-Sonnet-5
X088,T05,J02,DeepSeek-V4-Pro
X085,T10,J01,GPT-5.6-Sol
X060,T05,J03,Claude-Sonnet-5
X027,T26,J01,GPT-5.6-Sol
X024,T04,J01,GPT-5.6-Sol
X066,T10,J03,Claude-Sonnet-5
X067,T01,J02,DeepSeek-V4-Pro
X043,T27,J02,DeepSeek-V4-Pro
X037,T07,J02,DeepSeek-V4-Pro
X042,T14,J03,Claude-Sonnet-5
X014,T16,J03,Claude-Sonnet-5
X033,T02,J03,Claude-Sonnet-5
X016,T15,J02,DeepSeek-V4-Pro
X065,T25,J03,Claude-Sonnet-5
X051,T14,J01,GPT-5.6-Sol
X083,T17,J01,GPT-5.6-Sol
X051,T14,J02,DeepSeek-V4-Pro
X064,T11,J01,GPT-5.6-Sol
X064,T11,J02,DeepSeek-V4-Pro
X045,T17,J03,Claude-Sonnet-5
X048,T21,J01,GPT-5.6-Sol
X057,T28,J02,DeepSeek-V4-Pro
X056,T08,J02,DeepSeek-V4-Pro
X029,T24,J02,DeepSeek-V4-Pro
X054,T05,J01,GPT-5.6-Sol
X044,T15,J02,DeepSeek-V4-Pro
X052,T06,J03,Claude-Sonnet-5
X030,T24,J01,GPT-5.6-Sol
X089,T03,J02,DeepSeek-V4-Pro
X074,T03,J01,GPT-5.6-Sol
X012,T04,J03,Claude-Sonnet-5
X009,T02,J02,DeepSeek-V4-Pro
X020,T03,J01,GPT-5.6-Sol
X056,T08,J01,GPT-5.6-Sol
X082,T11,J01,GPT-5.6-Sol
X007,T29,J02,DeepSeek-V4-Pro
X079,T13,J03,Claude-Sonnet-5
X028,T12,J01,GPT-5.6-Sol
X009,T02,J01,GPT-5.6-Sol
X010,T28,J03,Claude-Sonnet-5
X004,T13,J02,DeepSeek-V4-Pro
X071,T19,J01,GPT-5.6-Sol
X004,T13,J01,GPT-5.6-Sol
X040,T08,J03,Claude-Sonnet-5
X032,T19,J01,GPT-5.6-Sol
X043,T27,J03,Claude-Sonnet-5
X036,T10,J01,GPT-5.6-Sol
X034,T22,J03,Claude-Sonnet-5
X005,T11,J03,Claude-Sonnet-5
X005,T11,J02,DeepSeek-V4-Pro
X018,T07,J01,GPT-5.6-Sol
X006,T27,J01,GPT-5.6-Sol
X066,T10,J02,DeepSeek-V4-Pro
X078,T06,J01,GPT-5.6-Sol
X078,T06,J03,Claude-Sonnet-5
X035,T30,J03,Claude-Sonnet-5
X016,T15,J03,Claude-Sonnet-5
X048,T21,J02,DeepSeek-V4-Pro
X086,T09,J01,GPT-5.6-Sol
X022,T01,J01,GPT-5.6-Sol
X062,T20,J02,DeepSeek-V4-Pro
X089,T03,J03,Claude-Sonnet-5
X049,T30,J01,GPT-5.6-Sol
X002,T20,J01,GPT-5.6-Sol
X055,T09,J03,Claude-Sonnet-5
X029,T24,J03,Claude-Sonnet-5
X003,T21,J02,DeepSeek-V4-Pro
X058,T15,J03,Claude-Sonnet-5
X039,T12,J01,GPT-5.6-Sol
X080,T21,J03,Claude-Sonnet-5
X041,T19,J03,Claude-Sonnet-5
X020,T03,J02,DeepSeek-V4-Pro
X028,T12,J03,Claude-Sonnet-5
X041,T19,J02,DeepSeek-V4-Pro
X025,T23,J03,Claude-Sonnet-5
X053,T18,J01,GPT-5.6-Sol
X027,T26,J02,DeepSeek-V4-Pro
X036,T10,J02,DeepSeek-V4-Pro
X075,T14,J01,GPT-5.6-Sol
X010,T28,J02,DeepSeek-V4-Pro
X046,T18,J03,Claude-Sonnet-5
X055,T09,J01,GPT-5.6-Sol
X063,T25,J02,DeepSeek-V4-Pro
X006,T27,J03,Claude-Sonnet-5
X023,T20,J02,DeepSeek-V4-Pro
X074,T03,J03,Claude-Sonnet-5
X053,T18,J02,DeepSeek-V4-Pro
X087,T27,J01,GPT-5.6-Sol
X046,T18,J02,DeepSeek-V4-Pro
X021,T02,J03,Claude-Sonnet-5
X011,T16,J01,GPT-5.6-Sol
X026,T24,J03,Claude-Sonnet-5
X061,T07,J01,GPT-5.6-Sol
X013,T12,J03,Claude-Sonnet-5
X069,T23,J01,GPT-5.6-Sol
X065,T25,J01,GPT-5.6-Sol
X032,T19,J02,DeepSeek-V4-Pro
X080,T21,J01,GPT-5.6-Sol
X017,T06,J01,GPT-5.6-Sol
X076,T18,J03,Claude-Sonnet-5
X070,T26,J02,DeepSeek-V4-Pro
X068,T01,J01,GPT-5.6-Sol
X018,T07,J03,Claude-Sonnet-5
X011,T16,J02,DeepSeek-V4-Pro
X047,T22,J01,GPT-5.6-Sol
X007,T29,J01,GPT-5.6-Sol
X017,T06,J02,DeepSeek-V4-Pro
X071,T19,J03,Claude-Sonnet-5
X003,T21,J03,Claude-Sonnet-5
X069,T23,J02,DeepSeek-V4-Pro
X077,T13,J02,DeepSeek-V4-Pro
X059,T29,J03,Claude-Sonnet-5
X057,T28,J01,GPT-5.6-Sol
X022,T01,J03,Claude-Sonnet-5
X031,T30,J03,Claude-Sonnet-5
X081,T23,J02,DeepSeek-V4-Pro
X035,T30,J02,DeepSeek-V4-Pro
X049,T30,J02,DeepSeek-V4-Pro
X058,T15,J01,GPT-5.6-Sol
X087,T27,J02,DeepSeek-V4-Pro
X013,T12,J02,DeepSeek-V4-Pro
X084,T08,J01,GPT-5.6-Sol
X014,T16,J02,DeepSeek-V4-Pro
X038,T09,J02,DeepSeek-V4-Pro
X083,T17,J02,DeepSeek-V4-Pro
X015,T22,J02,DeepSeek-V4-Pro
X063,T25,J01,GPT-5.6-Sol
X044,T15,J01,GPT-5.6-Sol
X012,T04,J01,GPT-5.6-Sol
X075,T14,J03,Claude-Sonnet-5
X030,T24,J02,DeepSeek-V4-Pro
X008,T04,J02,DeepSeek-V4-Pro
X088,T05,J01,GPT-5.6-Sol
X082,T11,J03,Claude-Sonnet-5
X085,T10,J03,Claude-Sonnet-5
X067,T01,J03,Claude-Sonnet-5
X039,T12,J02,DeepSeek-V4-Pro
X072,T17,J03,Claude-Sonnet-5
X052,T06,J02,DeepSeek-V4-Pro
X061,T07,J02,DeepSeek-V4-Pro
X081,T23,J03,Claude-Sonnet-5
X024,T04,J02,DeepSeek-V4-Pro
X034,T22,J01,GPT-5.6-Sol
X090,T29,J03,Claude-Sonnet-5
X040,T08,J02,DeepSeek-V4-Pro
X021,T02,J01,GPT-5.6-Sol
