tarefa,nivel,GPT-5.6-Sol,DeepSeek-V4-Pro,Claude-Sonnet-5
T01,Facil,100,100,100
T02,Facil,100,100,100
T03,Facil,100,100,100
T04,Facil,100,100,100
T05,Facil,100,100,100
T06,Facil,100,100,100
T07,Facil,100,100,100
T08,Facil,100,100,100
T09,Facil,100,100,100
T10,Facil,100,100,100
T11,Medio,100,100,100
T12,Medio,100,100,100
T13,Medio,100,100,100
T14,Medio,100,100,100
T15,Medio,100,100,100
T16,Medio,100,100,100
T17,Medio,100,100,100
T18,Medio,100,100,100
T19,Medio,100,100,100
T20,Medio,100,100,100
T21,Dificil,100,0,0
T22,Dificil,100,100,0
T23,Dificil,0,0,0
T24,Dificil,0,0,0
T25,Dificil,0,0,0
T26,Dificil,0,0,0
T27,Dificil,0,0,0
T28,Dificil,100,100,100
T29,Dificil,0,0,0
T30,Dificil,0,0,0
