ID_Tarefa;Nivel;Titulo;Assinatura_Contrato;Enunciado;Restricoes_Contexto;Arquivo_Prompt
T01;Fácil;passaTesteDegrau;"bool passaTesteDegrau(float novoValor, float &ultimoValor, float limite, unsigned long &contadorRejeicoes);";"Implemente uma função que aceite a primeira leitura quando ultimoValor for NaN; nas leituras seguintes, aceite apenas quando a diferença absoluta entre novoValor e ultimoValor for menor ou igual a limite. Quando aceita, atualize ultimoValor. Quando rejeitada, preserve ultimoValor e incremente contadorRejeicoes.";"C++/Arduino; pode usar isnan() e fabs(); não usar delay().";T01_passaTesteDegrau.md
T02;Fácil;Acumulador;"struct Acumulador { float soma; unsigned int quantidade; void adicionar(float valor); float media() const; void limpar(); };";Implemente a estrutura Acumulador. Valores NaN devem ser ignorados. media() deve retornar NaN quando não houver amostras. limpar() deve restaurar soma=0 e quantidade=0.;"C++/Arduino; pode usar NAN/isnan().";T02_Acumulador.md
T03;Fácil;detectarEeprom;"bool detectarEeprom();";Implemente uma função que detecte uma EEPROM AT24C32 no endereço I2C 0x50. A função deve iniciar uma transmissão e considerar o dispositivo presente somente quando endTransmission() retornar 0.;"Use a instância global Wire; não inicialize o barramento dentro da função.";T03_detectarEeprom.md
T04;Fácil;lerUV;"float lerUV(int pinoUV);";Leia o ADC de 12 bits do ESP32 no pino informado. Considere referência de 3,3 V. Converta a leitura para tensão e depois para índice UV usando indiceUV = tensao * 10. O retorno nunca pode ser negativo.;"Use analogRead(); ADC esperado no intervalo 0..4095.";T04_lerUV.md
T05;Fácil;faixaValida;"bool faixaValida(float valor, float minimo, float maximo);";Retorne verdadeiro somente quando valor não for NaN e estiver no intervalo fechado [minimo,maximo].;"C++/Arduino; pode usar isnan().";T05_faixaValida.md
T06;Fácil;calcularPontoOrvalho;"float calcularPontoOrvalho(float temperaturaC, float umidadeRelativa);";"Calcule o ponto de orvalho pela fórmula de Magnus: a=17.27; b=237.7; alpha=(a*T)/(b+T)+ln(UR/100); Td=(b*alpha)/(a-alpha). Retorne Td em graus Celsius.";"Use log() natural; entradas são consideradas fisicamente válidas.";T06_calcularPontoOrvalho.md
T07;Fácil;calcularITGU;"float calcularITGU(float temperaturaC, float umidadeRelativa);";Calcule primeiro o ponto de orvalho pela mesma fórmula de Magnus definida nesta tarefa e depois calcule ITGU = temperaturaC + 0.36*pontoOrvalho + 41.5.;A implementação pode criar função auxiliar local/externa.;T07_calcularITGU.md
T08;Fácil;calcularITU;"float calcularITU(float temperaturaC, float umidadeRelativa);";Calcule ITU = 0.8*T + (UR/100.0)*(T-14.3) + 46.3.;"Retorne float; não arredonde o resultado.";T08_calcularITU.md
T09;Fácil;classificarIndiceCalor;"String classificarIndiceCalor(float indiceCalor);";"Se NaN, retorne String vazia. Caso contrário: <=27 normal; >27 e <=32 atencao; >32 e <=41 atencao_extrema; >41 e <=54 perigo; >54 perigo_extremo.";Use exatamente os textos: normal, atencao, atencao_extrema, perigo, perigo_extremo.;T09_classificarIndiceCalor.md
T10;Fácil;classificar;"String classificar(float indice);";"Se NaN, retorne String vazia. Caso contrário: <=72 normal; >72 e <=78 alerta; >78 perigo.";Use exatamente os textos: normal, alerta, perigo.;T10_classificar.md
T11;Média;isrPluviometro;"void IRAM_ATTR isrPluviometro();";Implemente ISR para incrementar pulsosPluviometro somente quando millis()-ultimoPulsoPluviometro > 15. Quando o pulso for aceito, atualize ultimoPulsoPluviometro.;"Considere globais: volatile unsigned long pulsosPluviometro; volatile unsigned long ultimoPulsoPluviometro; ISR deve ser curta e não bloqueante.";T11_isrPluviometro.md
T12;Média;isrAnemometro;"void IRAM_ATTR isrAnemometro();";Implemente ISR para incrementar pulsosAnemometro somente quando millis()-ultimoPulsoAnemometro > 5. Quando aceito, atualize ultimoPulsoAnemometro.;"Considere globais volatile unsigned long pulsosAnemometro e ultimoPulsoAnemometro; não usar delay().";T12_isrAnemometro.md
T13;Média;identificarChipBmx;"uint8_t identificarChipBmx(uint8_t endereco);";Leia via I2C o registrador 0xD0 do dispositivo no endereço informado. Use endTransmission(false). Se a transmissão falhar ou nenhum byte estiver disponível após solicitar 1 byte, retorne 0. Caso contrário, retorne o byte recebido.;"Use Wire; não reinicialize o barramento.";T13_identificarChipBmx.md
T14;Média;lerPressaoAltitude;"void lerPressaoAltitude(float &pressaoHpa, float &altitudeM);";Priorize BME280 quando bmeDisponivel && bmeSaudavel. Caso contrário, use BMP280 quando bmpDisponivel && bmpSaudavel. Pressão lida em Pa deve ser convertida para hPa. Se nenhum sensor estiver utilizável ou a pressão estiver fora de PRESSAO_MIN_VALIDA..PRESSAO_MAX_VALIDA, retorne NAN em pressão e altitude.;Considere globais bme, bmp, bmeDisponivel, bmeSaudavel, bmpDisponivel, bmpSaudavel, PRESSAO_MIN_VALIDA e PRESSAO_MAX_VALIDA.;T14_lerPressaoAltitude.md
T15;Média;lerLDR;"float lerLDR();";Se vemlDisponivel for verdadeiro, retorne veml.readLux(). Caso contrário, leia PIN_LDR com analogRead() e converta linearmente o intervalo 0..4095 para 100..0 usando map().;Considere globais vemlDisponivel, veml e PIN_LDR.;T15_lerLDR.md
