execucao_id;tarefa;nivel;provedor;llm_id;modelo_solicitado;modelo_retornado;data_hora_utc;duracao_s;status;stop_reason;input_tokens;output_tokens;total_tokens;codigo_extraido;resposta_vazia;erro;pasta_saida
LLM01-T01;T01;Fácil;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:06:42.217990+00:00;6.719287;sucesso;completed;367;77;444;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T01
LLM01-T02;T02;Fácil;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:06:53.535460+00:00;7.302716;sucesso;completed;340;236;576;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T02
LLM01-T03;T03;Fácil;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:07:04.989478+00:00;3.914421;sucesso;completed;325;30;355;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T03
LLM01-T04;T04;Fácil;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:07:13.105837+00:00;4.099269;sucesso;completed;334;78;412;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T04
LLM01-T05;T05;Fácil;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:07:21.519676+00:00;3.961412;sucesso;completed;305;37;342;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T05
LLM01-T06;T06;Fácil;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:07:33.222610+00:00;5.181145;sucesso;completed;345;90;435;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T06
LLM01-T07;T07;Fácil;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:07:43.341908+00:00;6.191769;sucesso;completed;324;230;554;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T07
LLM01-T08;T08;Fácil;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:07:57.574589+00:00;3.443315;sucesso;completed;311;64;375;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T08
LLM01-T09;T09;Fácil;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:08:09.201859+00:00;4.109943;sucesso;completed;345;138;483;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T09
LLM01-T10;T10;Fácil;openai;LLM01;gpt-5.6-sol;gpt-5.6-sol;2026-09-01T12:08:19.991117+00:00;4.709943;sucesso;completed;303;75;378;True;False;;C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T10
