anon_id,tarefa,modelo_id,modelo,R_0_100,C_0_100,F_0_100,casos_aprovados,casos_total,status,nivel
X079,T13,LLM02,DeepSeek-V4-Pro,100.0,100,80,4,5,FAIL,Medio
X075,T14,LLM02,DeepSeek-V4-Pro,100.0,100,50,2,4,FAIL,Medio
X048,T21,LLM03,Claude-Sonnet-5,100.0,0,0,0,4,COMPILE_FAIL,Dificil
X080,T21,LLM02,DeepSeek-V4-Pro,95.0,0,0,0,4,COMPILE_FAIL,Dificil
X047,T22,LLM03,Claude-Sonnet-5,80.0,0,0,0,5,COMPILE_FAIL,Dificil
X081,T23,LLM01,GPT-5.6-Sol,85.0,0,0,0,8,COMPILE_FAIL,Dificil
X030,T24,LLM03,Claude-Sonnet-5,100.0,0,0,0,6,COMPILE_FAIL,Dificil
X029,T24,LLM01,GPT-5.6-Sol,90.0,0,0,0,6,COMPILE_FAIL,Dificil
X063,T25,LLM03,Claude-Sonnet-5,95.0,0,0,0,6,COMPILE_FAIL,Dificil
X050,T25,LLM01,GPT-5.6-Sol,100.0,0,0,0,6,COMPILE_FAIL,Dificil
X027,T26,LLM03,Claude-Sonnet-5,100.0,0,0,0,8,COMPILE_FAIL,Dificil
X070,T26,LLM01,GPT-5.6-Sol,100.0,0,0,0,8,COMPILE_FAIL,Dificil
X087,T27,LLM03,Claude-Sonnet-5,100.0,0,0,0,6,COMPILE_FAIL,Dificil
X006,T27,LLM02,DeepSeek-V4-Pro,95.0,0,0,0,6,COMPILE_FAIL,Dificil
X043,T27,LLM01,GPT-5.6-Sol,95.0,0,0,0,6,COMPILE_FAIL,Dificil
X059,T29,LLM01,GPT-5.6-Sol,100.0,0,0,0,8,COMPILE_FAIL,Dificil
X049,T30,LLM03,Claude-Sonnet-5,90.0,0,0,0,7,COMPILE_FAIL,Dificil
X035,T30,LLM01,GPT-5.6-Sol,95.0,0,0,0,7,COMPILE_FAIL,Dificil
