"anon_id","tarefa","modelo_id","modelo","R_0_100","C_0_100","F_0_100","status"
"X001","T28","LLM02","DeepSeek-V4-Pro","80","100","100","PASS"
"X002","T20","LLM02","DeepSeek-V4-Pro","100","100","100","PASS"
"X003","T21","LLM01","GPT-5.6-Sol","100","100","100","PASS"
"X004","T13","LLM03","Claude-Sonnet-5","100","100","100","PASS"
"X005","T11","LLM01","GPT-5.6-Sol","100","100","100","PASS"
"X006","T27","LLM02","DeepSeek-V4-Pro","95","0","0","COMPILE_FAIL"
"X007","T29","LLM03","Claude-Sonnet-5","70","0","0","COMPILE_FAIL"
"X008","T04","LLM01","GPT-5.6-Sol","100","100","100","PASS"
"X009","T02","LLM03","Claude-Sonnet-5","100","100","100","PASS"
"X010","T28","LLM01","GPT-5.6-Sol","100","100","100","PASS"
"X011","T16","LLM03","Claude-Sonnet-5","100","100","100","PASS"
"X012","T04","LLM02","DeepSeek-V4-Pro","100","100","100","PASS"
"X013","T12","LLM01","GPT-5.6-Sol","100","100","100","PASS"
"X014","T16","LLM01","GPT-5.6-Sol","100","100","100","PASS"
"X015","T22","LLM01","GPT-5.6-Sol","100","100","100","PASS"
"X016","T15","LLM01","GPT-5.6-Sol","100","100","100","PASS"
"X017","T06","LLM03","Claude-Sonnet-5","100","100","100","PASS"
"X018","T07","LLM02","DeepSeek-V4-Pro","100","100","100","PASS"
"X019","T16","LLM02","DeepSeek-V4-Pro","100","100","100","PASS"
"X020","T03","LLM03","Claude-Sonnet-5","100","100","100","PASS"
"X021","T02","LLM02","DeepSeek-V4-Pro","95","100","100","PASS"
"X022","T01","LLM02","DeepSeek-V4-Pro","100","100","100","PASS"
"X023","T20","LLM01","GPT-5.6-Sol","100","100","100","PASS"
"X024","T04","LLM03","Claude-Sonnet-5","100","100","100","PASS"
"X025","T23","LLM02","DeepSeek-V4-Pro","0","0","0","COMPILE_FAIL"
"X026","T24","LLM02","DeepSeek-V4-Pro","0","0","0","COMPILE_FAIL"
"X027","T26","LLM03","Claude-Sonnet-5","100","0","0","COMPILE_FAIL"
"X028","T12","LLM02","DeepSeek-V4-Pro","100","100","100","PASS"
"X029","T24","LLM01","GPT-5.6-Sol","90","0","0","COMPILE_FAIL"
"X030","T24","LLM03","Claude-Sonnet-5","100","0","0","COMPILE_FAIL"
"X031","T30","LLM02","DeepSeek-V4-Pro","70","0","0","COMPILE_FAIL"
"X032","T19","LLM03","Claude-Sonnet-5","100","100","100","PASS"
"X033","T02","LLM01","GPT-5.6-Sol","100","100","100","PASS"
"X034","T22","LLM02","DeepSeek-V4-Pro","90","100","100","PASS"
"X035","T30","LLM01","GPT-5.6-Sol","95","0","0","COMPILE_FAIL"
"X036","T10","LLM03","Claude-Sonnet-5","100","100","100","PASS"
"X037","T07","LLM01","GPT-5.6-Sol","100","100","100","PASS"
"X038","T09","LLM01","GPT-5.6-Sol","100","100","100","PASS"
"X039","T12","LLM03","Claude-Sonnet-5","100","100","100","PASS"
"X040","T08","LLM01","GPT-5.6-Sol","100","100","100","PASS"
"X041","T19","LLM01","GPT-5.6-Sol","100","100","100","PASS"
"X042","T14","LLM01","GPT-5.6-Sol","100","100","100","PASS"
