anon_id,tarefa,juiz_id,juiz,arquivo_prompt
X045,T17,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X045_T17.txt
X068,T01,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X068_T01.txt
X026,T24,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X026_T24.txt
X086,T09,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X086_T09.txt
X054,T05,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X054_T05.txt
X073,T26,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X073_T26.txt
X050,T25,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X050_T25.txt
X023,T20,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X023_T20.txt
X047,T22,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X047_T22.txt
X008,T04,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X008_T04.txt
X015,T22,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X015_T22.txt
X059,T29,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X059_T29.txt
X062,T20,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X062_T20.txt
X073,T26,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X073_T26.txt
X001,T28,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X001_T28.txt
X019,T16,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X019_T16.txt
X025,T23,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X025_T23.txt
X060,T05,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X060_T05.txt
X070,T26,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X070_T26.txt
X038,T09,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X038_T09.txt
X019,T16,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X019_T16.txt
X072,T17,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X072_T17.txt
X033,T02,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X033_T02.txt
X001,T28,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X001_T28.txt
X042,T14,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X042_T14.txt
X002,T20,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X002_T20.txt
X088,T05,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X088_T05.txt
X085,T10,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X085_T10.txt
X060,T05,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X060_T05.txt
X027,T26,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X027_T26.txt
X024,T04,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X024_T04.txt
X066,T10,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X066_T10.txt
X067,T01,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X067_T01.txt
X043,T27,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X043_T27.txt
X037,T07,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X037_T07.txt
X042,T14,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X042_T14.txt
X014,T16,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X014_T16.txt
X033,T02,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X033_T02.txt
X016,T15,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X016_T15.txt
X065,T25,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X065_T25.txt
X051,T14,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X051_T14.txt
X083,T17,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X083_T17.txt
X051,T14,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X051_T14.txt
X064,T11,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X064_T11.txt
X064,T11,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X064_T11.txt
X045,T17,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X045_T17.txt
X048,T21,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X048_T21.txt
X057,T28,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X057_T28.txt
X056,T08,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X056_T08.txt
X029,T24,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X029_T24.txt
X054,T05,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X054_T05.txt
X044,T15,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X044_T15.txt
X052,T06,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X052_T06.txt
X030,T24,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X030_T24.txt
X089,T03,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X089_T03.txt
X074,T03,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X074_T03.txt
X012,T04,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X012_T04.txt
X009,T02,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X009_T02.txt
X020,T03,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X020_T03.txt
X056,T08,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X056_T08.txt
X082,T11,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X082_T11.txt
X007,T29,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X007_T29.txt
X079,T13,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X079_T13.txt
X028,T12,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X028_T12.txt
X009,T02,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X009_T02.txt
X010,T28,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X010_T28.txt
X004,T13,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X004_T13.txt
X071,T19,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X071_T19.txt
X004,T13,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X004_T13.txt
X040,T08,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X040_T08.txt
X032,T19,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X032_T19.txt
X043,T27,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X043_T27.txt
X036,T10,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X036_T10.txt
X034,T22,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X034_T22.txt
X005,T11,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X005_T11.txt
X005,T11,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X005_T11.txt
X018,T07,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X018_T07.txt
X006,T27,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X006_T27.txt
X066,T10,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X066_T10.txt
X078,T06,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X078_T06.txt
X078,T06,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X078_T06.txt
X035,T30,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X035_T30.txt
X016,T15,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X016_T15.txt
X048,T21,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X048_T21.txt
X086,T09,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X086_T09.txt
X022,T01,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X022_T01.txt
X062,T20,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X062_T20.txt
X089,T03,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X089_T03.txt
X049,T30,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X049_T30.txt
X002,T20,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X002_T20.txt
X055,T09,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X055_T09.txt
X029,T24,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X029_T24.txt
X003,T21,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X003_T21.txt
X058,T15,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X058_T15.txt
X039,T12,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X039_T12.txt
X080,T21,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X080_T21.txt
X041,T19,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X041_T19.txt
X020,T03,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X020_T03.txt
X028,T12,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X028_T12.txt
X041,T19,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X041_T19.txt
X025,T23,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X025_T23.txt
X053,T18,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X053_T18.txt
X027,T26,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X027_T26.txt
X036,T10,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X036_T10.txt
X075,T14,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X075_T14.txt
X010,T28,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X010_T28.txt
X046,T18,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X046_T18.txt
X055,T09,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X055_T09.txt
X063,T25,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X063_T25.txt
X006,T27,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X006_T27.txt
X023,T20,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X023_T20.txt
X074,T03,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X074_T03.txt
X053,T18,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X053_T18.txt
X087,T27,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X087_T27.txt
X046,T18,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X046_T18.txt
X021,T02,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X021_T02.txt
X011,T16,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X011_T16.txt
X026,T24,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X026_T24.txt
X061,T07,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X061_T07.txt
X013,T12,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X013_T12.txt
X069,T23,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X069_T23.txt
X065,T25,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X065_T25.txt
X032,T19,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X032_T19.txt
X080,T21,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X080_T21.txt
X017,T06,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X017_T06.txt
X076,T18,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X076_T18.txt
X070,T26,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X070_T26.txt
X068,T01,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X068_T01.txt
X018,T07,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X018_T07.txt
X011,T16,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X011_T16.txt
X047,T22,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X047_T22.txt
X007,T29,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X007_T29.txt
X017,T06,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X017_T06.txt
X071,T19,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X071_T19.txt
X003,T21,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X003_T21.txt
X069,T23,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X069_T23.txt
X077,T13,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X077_T13.txt
X059,T29,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X059_T29.txt
X057,T28,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X057_T28.txt
X022,T01,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X022_T01.txt
X031,T30,J03,Claude-Sonnet-5,11-avaliacao\prompts_julgamento\J03\J03_X031_T30.txt
X081,T23,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X081_T23.txt
X035,T30,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X035_T30.txt
X049,T30,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X049_T30.txt
X058,T15,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X058_T15.txt
X087,T27,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X087_T27.txt
X013,T12,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X013_T12.txt
X084,T08,J01,GPT-5.6-Sol,11-avaliacao\prompts_julgamento\J01\J01_X084_T08.txt
X014,T16,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X014_T16.txt
X038,T09,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X038_T09.txt
X083,T17,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X083_T17.txt
X015,T22,J02,DeepSeek-V4-Pro,11-avaliacao\prompts_julgamento\J02\J02_X015_T22.txt
