timestamp,juiz,anon_id,tarefa,prompt,status,duracao_segundos,mensagem
2026-09-01T10:37:04.241292,J01,X026,T24,11-avaliacao\prompts_julgamento\J01\J01_X026_T24.txt,SUCESSO,8.952,
2026-09-01T10:38:29.053391,J01,X062,T20,11-avaliacao\prompts_julgamento\J01\J01_X062_T20.txt,SUCESSO,14.942,
2026-09-01T10:38:49.020476,J01,X073,T26,11-avaliacao\prompts_julgamento\J01\J01_X073_T26.txt,SUCESSO,18.921,
2026-09-01T10:39:00.691596,J01,X025,T23,11-avaliacao\prompts_julgamento\J01\J01_X025_T23.txt,SUCESSO,10.666,
2026-09-01T10:39:11.128242,J01,X019,T16,11-avaliacao\prompts_julgamento\J01\J01_X019_T16.txt,SUCESSO,9.432,
2026-09-01T10:39:20.622020,J01,X072,T17,11-avaliacao\prompts_julgamento\J01\J01_X072_T17.txt,SUCESSO,8.462,
2026-09-01T10:39:59.983493,J01,X001,T28,11-avaliacao\prompts_julgamento\J01\J01_X001_T28.txt,SUCESSO,38.355,
2026-09-01T10:40:09.323005,J01,X085,T10,11-avaliacao\prompts_julgamento\J01\J01_X085_T10.txt,SUCESSO,8.335,
2026-09-01T10:40:22.268920,J01,X027,T26,11-avaliacao\prompts_julgamento\J01\J01_X027_T26.txt,SUCESSO,11.94,
2026-09-01T10:40:32.755159,J01,X024,T04,11-avaliacao\prompts_julgamento\J01\J01_X024_T04.txt,SUCESSO,9.482,
2026-09-01T10:40:46.205452,J01,X051,T14,11-avaliacao\prompts_julgamento\J01\J01_X051_T14.txt,SUCESSO,12.445,
2026-09-01T10:40:55.063453,J01,X083,T17,11-avaliacao\prompts_julgamento\J01\J01_X083_T17.txt,SUCESSO,7.852,
2026-09-01T10:41:05.112641,J01,X064,T11,11-avaliacao\prompts_julgamento\J01\J01_X064_T11.txt,SUCESSO,9.047,
2026-09-01T10:41:25.390595,J01,X048,T21,11-avaliacao\prompts_julgamento\J01\J01_X048_T21.txt,SUCESSO,19.273,
2026-09-01T10:41:36.850604,J01,X054,T05,11-avaliacao\prompts_julgamento\J01\J01_X054_T05.txt,SUCESSO,10.457,
2026-09-01T10:42:03.358260,J01,X030,T24,11-avaliacao\prompts_julgamento\J01\J01_X030_T24.txt,SUCESSO,25.504,
2026-09-01T10:42:12.828656,J01,X074,T03,11-avaliacao\prompts_julgamento\J01\J01_X074_T03.txt,SUCESSO,8.466,
2026-09-01T10:42:22.580124,J01,X020,T03,11-avaliacao\prompts_julgamento\J01\J01_X020_T03.txt,SUCESSO,8.746,
2026-09-01T10:42:32.836446,J01,X056,T08,11-avaliacao\prompts_julgamento\J01\J01_X056_T08.txt,SUCESSO,9.247,
2026-09-01T10:42:43.432250,J01,X082,T11,11-avaliacao\prompts_julgamento\J01\J01_X082_T11.txt,SUCESSO,9.591,
2026-09-01T10:42:53.953187,J01,X028,T12,11-avaliacao\prompts_julgamento\J01\J01_X028_T12.txt,SUCESSO,9.517,
2026-09-01T10:43:05.306986,J01,X009,T02,11-avaliacao\prompts_julgamento\J01\J01_X009_T02.txt,SUCESSO,10.348,
2026-09-01T10:43:13.933444,J01,X071,T19,11-avaliacao\prompts_julgamento\J01\J01_X071_T19.txt,SUCESSO,7.621,
2026-09-01T10:43:23.101341,J01,X004,T13,11-avaliacao\prompts_julgamento\J01\J01_X004_T13.txt,SUCESSO,8.162,
2026-09-01T10:43:33.087391,J01,X032,T19,11-avaliacao\prompts_julgamento\J01\J01_X032_T19.txt,SUCESSO,8.983,
2026-09-01T10:43:42.775754,J01,X036,T10,11-avaliacao\prompts_julgamento\J01\J01_X036_T10.txt,SUCESSO,8.683,
2026-09-01T10:43:53.621868,J01,X018,T07,11-avaliacao\prompts_julgamento\J01\J01_X018_T07.txt,SUCESSO,9.841,
2026-09-01T10:44:11.712472,J01,X006,T27,11-avaliacao\prompts_julgamento\J01\J01_X006_T27.txt,SUCESSO,17.085,
2026-09-01T10:44:21.262926,J01,X078,T06,11-avaliacao\prompts_julgamento\J01\J01_X078_T06.txt,SUCESSO,8.545,
2026-09-01T10:44:30.827960,J01,X086,T09,11-avaliacao\prompts_julgamento\J01\J01_X086_T09.txt,SUCESSO,8.559,
2026-09-01T10:44:39.993348,J01,X022,T01,11-avaliacao\prompts_julgamento\J01\J01_X022_T01.txt,SUCESSO,8.161,
2026-09-01T10:45:06.634515,J01,X049,T30,11-avaliacao\prompts_julgamento\J01\J01_X049_T30.txt,SUCESSO,25.637,
2026-09-01T10:45:17.737594,J01,X002,T20,11-avaliacao\prompts_julgamento\J01\J01_X002_T20.txt,SUCESSO,10.096,
2026-09-01T10:45:27.783727,J01,X039,T12,11-avaliacao\prompts_julgamento\J01\J01_X039_T12.txt,SUCESSO,9.041,
2026-09-01T10:45:38.335803,J01,X053,T18,11-avaliacao\prompts_julgamento\J01\J01_X053_T18.txt,SUCESSO,9.547,
2026-09-01T10:45:48.746549,J01,X075,T14,11-avaliacao\prompts_julgamento\J01\J01_X075_T14.txt,SUCESSO,9.406,
2026-09-01T10:45:57.798570,J01,X055,T09,11-avaliacao\prompts_julgamento\J01\J01_X055_T09.txt,SUCESSO,8.048,
2026-09-01T10:46:09.974091,J01,X087,T27,11-avaliacao\prompts_julgamento\J01\J01_X087_T27.txt,SUCESSO,11.171,
2026-09-01T10:46:20.024445,J01,X011,T16,11-avaliacao\prompts_julgamento\J01\J01_X011_T16.txt,SUCESSO,9.045,
2026-09-01T10:46:30.489500,J01,X061,T07,11-avaliacao\prompts_julgamento\J01\J01_X061_T07.txt,SUCESSO,9.459,
2026-09-01T10:46:58.262587,J01,X069,T23,11-avaliacao\prompts_julgamento\J01\J01_X069_T23.txt,SUCESSO,26.77,
2026-09-01T10:47:06.859185,J01,X065,T25,11-avaliacao\prompts_julgamento\J01\J01_X065_T25.txt,SUCESSO,7.593,
2026-09-01T10:47:23.487859,J01,X080,T21,11-avaliacao\prompts_julgamento\J01\J01_X080_T21.txt,SUCESSO,15.621,
2026-09-01T10:47:33.573224,J01,X017,T06,11-avaliacao\prompts_julgamento\J01\J01_X017_T06.txt,SUCESSO,9.077,
2026-09-01T10:47:42.704553,J01,X068,T01,11-avaliacao\prompts_julgamento\J01\J01_X068_T01.txt,SUCESSO,8.127,
2026-09-01T10:47:58.434459,J01,X047,T22,11-avaliacao\prompts_julgamento\J01\J01_X047_T22.txt,SUCESSO,14.725,
2026-09-01T10:48:17.759276,J01,X007,T29,11-avaliacao\prompts_julgamento\J01\J01_X007_T29.txt,SUCESSO,18.318,
