ID_Tarefa;ID_Caso;Tipo;Entrada_Precondicao;Resultado_Esperado;Peso;Automatizavel;Observacao
T01;CT01;Normal;"ultimo=NaN; novo=25.0";Retorna true e ultimo passa a 25.0;1;Sim;
T01;CT02;Limite;"ultimo=25.0; novo=28.0; limite=3.0";Retorna true e ultimo passa a 28.0;1;Sim;
T01;CT03;Inválido;"ultimo=25.0; novo=28.1";"Retorna false; ultimo permanece 25.0; contador de rejeições incrementa";1;Sim;
T01;CT04;Variação negativa;"ultimo=25.0; novo=21.9";"Retorna false; usa diferença absoluta";1;Sim;
T02;CT01;Normal;adicionar 10, 20, 30;"soma=60; quantidade=3; média=20";1;Sim;
T02;CT02;NaN;adicionar 10, NaN, 20;"soma=30; quantidade=2; média=15";1;Sim;
T02;CT03;Vazio;acumulador recém-criado;média=NaN;1;Sim;
T02;CT04;Reset;após valores, chamar limpar();"soma=0; quantidade=0; média=NaN";1;Sim;
T03;CT01;ACK;endTransmission() retorna 0;Retorna true;1;Sim;
T03;CT02;NACK;endTransmission() retorna valor diferente de 0;Retorna false;1;Sim;
T03;CT03;Contrato;capturar endereço I²C;beginTransmission é chamado com 0x50;1;Sim;
T04;CT01;ADC mínimo;ADC=0;UV=0.0;1;Sim;
T04;CT02;ADC intermediário;ADC=2048;UV≈16.504 (tolerância ±0.01);1;Sim;
T04;CT03;ADC máximo;ADC=4095;UV=33.0 (tolerância ±0.01);1;Sim;
T04;CT04;Não-negatividade;qualquer ADC válido 0..4095;Resultado nunca é negativo;1;Sim;
T05;CT01;Fronteira;"valor=NaN; min=0; max=10";Retorna false;1;Sim;
T05;CT02;Fronteira;"valor=-0.1; min=0; max=10";Retorna false;1;Sim;
T05;CT03;Fronteira;"valor=0; min=0; max=10";Retorna true;1;Sim;
T05;CT04;Fronteira;"valor=10; min=0; max=10";Retorna true;1;Sim;
T05;CT05;Fronteira;"valor=10.1; min=0; max=10";Retorna false;1;Sim;
T06;CT01;Numérico;"temperatura=20 °C; umidade=50%";Resultado≈9.2543 (tolerância ±0.01);1;Sim;
T06;CT02;Numérico;"temperatura=25 °C; umidade=60%";Resultado≈16.6842 (tolerância ±0.01);1;Sim;
T06;CT03;Numérico;"temperatura=30 °C; umidade=70%";Resultado≈23.9150 (tolerância ±0.01);1;Sim;
T06;CT04;Numérico;"temperatura=35 °C; umidade=80%";Resultado≈31.0167 (tolerância ±0.01);1;Sim;
T07;CT01;Numérico;"temperatura=20 °C; umidade=50%";Resultado≈64.8315 (tolerância ±0.01);1;Sim;
T07;CT02;Numérico;"temperatura=25 °C; umidade=60%";Resultado≈72.5063 (tolerância ±0.01);1;Sim;
T07;CT03;Numérico;"temperatura=30 °C; umidade=70%";Resultado≈80.1094 (tolerância ±0.01);1;Sim;
T07;CT04;Numérico;"temperatura=35 °C; umidade=80%";Resultado≈87.6660 (tolerância ±0.01);1;Sim;
T08;CT01;Numérico;"temperatura=20 °C; umidade=50%";Resultado≈65.1500 (tolerância ±0.01);1;Sim;
T08;CT02;Numérico;"temperatura=25 °C; umidade=60%";Resultado≈72.7200 (tolerância ±0.01);1;Sim;
T08;CT03;Numérico;"temperatura=30 °C; umidade=70%";Resultado≈81.2900 (tolerância ±0.01);1;Sim;
T08;CT04;Numérico;"temperatura=35 °C; umidade=80%";Resultado≈90.8600 (tolerância ±0.01);1;Sim;
T09;CT01;Fronteira;indiceCalor=NaN;"Retorna """"";1;Sim;
T09;CT02;Fronteira;indiceCalor=27;"Retorna ""normal""";1;Sim;
T09;CT03;Fronteira;indiceCalor=27.01;"Retorna ""atencao""";1;Sim;
T09;CT04;Fronteira;indiceCalor=32;"Retorna ""atencao""";1;Sim;
T09;CT05;Fronteira;indiceCalor=32.01;"Retorna ""atencao_extrema""";1;Sim;
T09;CT06;Fronteira;indiceCalor=41;"Retorna ""atencao_extrema""";1;Sim;
T09;CT07;Fronteira;indiceCalor=41.01;"Retorna ""perigo""";1;Sim;
T09;CT08;Fronteira;indiceCalor=54;"Retorna ""perigo""";1;Sim;
T09;CT09;Fronteira;indiceCalor=54.01;"Retorna ""perigo_extremo""";1;Sim;
T10;CT01;Fronteira;indice=NaN;"Retorna """"";1;Sim;
T10;CT02;Fronteira;indice=72;"Retorna ""normal""";1;Sim;
T10;CT03;Fronteira;indice=72.01;"Retorna ""alerta""";1;Sim;
T10;CT04;Fronteira;indice=78;"Retorna ""alerta""";1;Sim;
T10;CT05;Fronteira;indice=78.01;"Retorna ""perigo""";1;Sim;
T11;CT01;Primeiro pulso;"ultimoPulso=0; millis=100";contador incrementa em 1 e ultimoPulso=100;1;Sim;
T11;CT02;Dentro do debounce;"ultimoPulso=100; millis=115";contador não incrementa porque condição é > limite;1;Sim;
T11;CT03;Após debounce;"ultimoPulso=100; millis=116";contador incrementa em 1 e timestamp é atualizado;1;Sim;
T11;CT04;Contrato ISR;inspeção do código;Contador/timestamp compartilhados são volatile e ISR não contém operação bloqueante;1;Parcial;Inspeção estática.
T12;CT01;Primeiro pulso;"ultimoPulso=0; millis=100";contador incrementa em 1 e ultimoPulso=100;1;Sim;
T12;CT02;Dentro do debounce;"ultimoPulso=100; millis=105";contador não incrementa porque condição é > limite;1;Sim;
T12;CT03;Após debounce;"ultimoPulso=100; millis=106";contador incrementa em 1 e timestamp é atualizado;1;Sim;
T12;CT04;Contrato ISR;inspeção do código;Contador/timestamp compartilhados são volatile e ISR não contém operação bloqueante;1;Parcial;Inspeção estática.
T13;CT01;Falha transmissão;endTransmission(false)!=0;Retorna 0;1;Sim;
T13;CT02;Sem byte;"transmissão OK; Wire.available()=false";Retorna 0;1;Sim;
T13;CT03;BME280;byte recebido=0x60;Retorna 0x60;1;Sim;
T13;CT04;BMP280;byte recebido=0x58;Retorna 0x58;1;Sim;
T13;CT05;Contrato;captura I²C;Escreve registrador 0xD0 e solicita exatamente 1 byte;1;Sim;
T14;CT01;Prioridade BME;"BME disponível/saudável; BMP disponível";"Usa BME; retorna pressão em hPa e altitude do BME";1;Sim;
T14;CT02;Fallback BMP;"BME indisponível; BMP disponível";"Usa BMP; retorna pressão em hPa e altitude do BMP";1;Sim;
T14;CT03;Sem sensor;BME e BMP indisponíveis;"pressão=NaN; altitude=NaN";1;Sim;
T14;CT04;Pressão inválida;sensor retorna pressão fora de PRESSAO_MIN_VALIDA..PRESSAO_MAX_VALIDA;pressão=NaN e altitude=NaN;1;Sim;
T15;CT01;Digital prioritário;"VEML disponível; readLux=450.5";"Retorna 450.5; não usa ADC";1;Sim;
T15;CT02;Fallback ADC mínimo;"VEML indisponível; ADC=0";Retorna 100 conforme map(0,4095,100,0);1;Sim;
T15;CT03;Fallback ADC máximo;"VEML indisponível; ADC=4095";Retorna 0;1;Sim;
T15;CT04;Prioridade;VEML disponível e ADC também configurado;Resultado vem do VEML7700;1;Sim;
T16;CT01;Numérico;"temperatura=20 °C; umidade=50%";Resultado≈20.0000 °C (tolerância ±0.02);1;Sim;
