anon_id,gerador_id,gerador,tarefa,codigo_path,prompt_path
X001,LLM02,DeepSeek-V4-Pro,T28,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T28\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T28\prompt.md
X002,LLM02,DeepSeek-V4-Pro,T20,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T20\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T20\prompt.md
X003,LLM01,GPT-5.6-Sol,T21,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T21\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T21\prompt.md
X004,LLM03,Claude-Sonnet-5,T13,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T13\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T13\prompt.md
X005,LLM01,GPT-5.6-Sol,T11,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T11\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T11\prompt.md
X006,LLM02,DeepSeek-V4-Pro,T27,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T27\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM02_DeepSeek-V4-Pro\T27\prompt.md
X007,LLM03,Claude-Sonnet-5,T29,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T29\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T29\prompt.md
X008,LLM01,GPT-5.6-Sol,T04,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T04\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T04\prompt.md
X009,LLM03,Claude-Sonnet-5,T02,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T02\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM03_Claude-Sonnet-5\T02\prompt.md
X010,LLM01,GPT-5.6-Sol,T28,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T28\codigo.cpp,C:\Users\renat\Documents\esp32-llm-benchmark\05-respostas-llms\LLM01_GPT-5.6-Sol\T28\prompt.md
